day	hour	value
1	1	5
1	2	4
1	3	2
1	4	0
1	5	0
1	6	3
1	7	0
1	8	1
1	9	1
1	10	1
1	11	0
1	12	1
2	1	3
2	2	1
2	3	4
2	4	2
2	5	2
2	6	1
2	7	7
2	8	1
2	9	4
2	10	0
2	11	13
2	12	1
3	1	1
3	2	1
3	3	4
3	4	4
3	5	1
3	6	2
3	7	4
3	8	2
3	9	4
3	10	6
3	11	0
3	12	3
4	1	12
4	2	2
4	3	0
4	4	0
4	5	2
4	6	1
4	7	5
4	8	3
4	9	1
4	10	3
4	11	107
4	12	4
5	1	1
5	2	3
5	3	16
5	4	6
5	5	13
5	6	1
5	7	8
5	8	54
5	9	211
5	10	18
5	11	16
5	12	120
6	1	13
6	2	11
6	3	5
6	4	2
6	5	2
6	6	2
6	7	4
6	8	6
6	9	44
6	10	0
6	11	104
6	12	42
7	1	16
7	2	16
7	3	13
7	4	13
7	5	6
7	6	6
7	7	4
7	8	9
7	9	52
7	10	19
7	11	4
7	12	8
8	1	1
8	2	8
8	3	2
8	4	12
8	5	6
8	6	0
8	7	4
8	8	18
8	9	5
8	10	11
8	11	6
8	12	2
9	1	4
9	2	4
9	3	5
9	4	5
9	5	6
9	6	6
9	7	13
9	8	15
9	9	6
9	10	13
9	11	13
9	12	4
10	1	15
10	2	14
10	3	17
10	4	23
10	5	20
10	6	58
10	7	79
10	8	22
10	9	13
10	10	9
10	11	5
10	12	12
11	1	14
11	2	22
11	3	8
11	4	10
11	5	3
11	6	14
11	7	7
11	8	17
11	9	13
11	10	74
11	11	4
11	12	5
12	1	4
12	2	3
12	3	73
12	4	73
12	5	15
12	6	12
12	7	58
12	8	20
12	9	9
12	10	23
12	11	39
12	12	13
13	1	11
13	2	9
13	3	31
13	4	14
13	5	27
13	6	12
13	7	20
13	8	19
13	9	13
13	10	17
13	11	21
13	12	22
14	1	149
14	2	6
14	3	31
14	4	17
14	5	26
14	6	38
14	7	61
14	8	43
14	9	20
14	10	22
14	11	42
14	12	35
15	1	41
15	2	40
15	3	30
15	4	21
15	5	17
15	6	59
15	7	84
15	8	25
15	9	10
15	10	22
15	11	39
15	12	24
16	1	13
16	2	73
